name,type_of_food,district,rating,total_ratings,price_level,takeout,delivery,dine_in,wheelchair_accessible_entrance,free_street_parking,population_density
Mexicali,Mexican,Friedrichshain-Kreuzberg,4.6,120,NO_PRICE_DATA,True,True,True,False,False,14.385
Ta’Cabrón Taqueria,Mexican,Friedrichshain-Kreuzberg,4.3,1778,PRICE_LEVEL_INEXPENSIVE,True,True,True,False,False,14.385
Acapulco Berlin,Mexican,Friedrichshain-Kreuzberg,4.6,1104,PRICE_LEVEL_MODERATE,True,False,True,False,True,14.385
Sabor a mí,Mexican,Friedrichshain-Kreuzberg,4.7,515,NO_PRICE_DATA,True,False,True,False,False,14.385
Taquería Mexa Berlin,Mexican,Friedrichshain-Kreuzberg,4.6,923,NO_PRICE_DATA,True,False,True,False,False,14.385
MEXICAN KITCHEN COCKTAIL BAR,Mexican,Friedrichshain-Kreuzberg,3.9,491,PRICE_LEVEL_MODERATE,True,False,True,True,False,14.385
East Side Burrito,Mexican,Friedrichshain-Kreuzberg,4.8,301,NO_PRICE_DATA,True,False,True,True,False,14.385
Pancho-Villa Cantina,Mexican,Friedrichshain-Kreuzberg,4.4,387,NO_PRICE_DATA,True,True,True,False,True,14.385
Andolitos,Mexican,Friedrichshain-Kreuzberg,4.8,94,NO_PRICE_DATA,True,False,True,False,False,14.385
Cocina Mexicana,Mexican,Friedrichshain-Kreuzberg,4.5,62,NO_PRICE_DATA,True,False,True,False,False,14.385
Que Pasa,Mexican,Friedrichshain-Kreuzberg,3.8,1750,PRICE_LEVEL_MODERATE,True,False,True,True,False,14.385
Taberna Weser,Mexican,Friedrichshain-Kreuzberg,4.6,27,NO_PRICE_DATA,True,True,True,False,False,14.385
Club del Burro,Mexican,Friedrichshain-Kreuzberg,4.3,964,PRICE_LEVEL_MODERATE,True,True,True,False,True,14.385
